modelo,rmse,mae,poisson_dev,mcfadden_r2
XGBoost (tuned),6.109886888961273,3.940631663636124,5098.698264704877,0.7886756799682244
LightGBM (tuned),6.091564899389773,3.9666805459871624,5123.306015169266,0.7876557694215667
